ean;name;quantity;sector;type;size
2501504920482;JAPONA NYLON TERMICA FRIGO.BRANCA JP 15 PES TM-GGG BRASIL SAFETY;0;EPI;JAPONA;GGG
2501504920057;JAPONA NYLON TERMICA FRIGO.BRANCA JP 15 PES TM-P BRASIL SAFETY;0;EPI;JAPONA;P
2501504920767;JAPONA NYLON TERMICA FRIGO.BRANCA. TM-G MAICOL;0;EPI;JAPONA;G
7898619330945;LUVA BLACK TRACTOR TM-09 VOLK;0;EPI;LUVA;9
7891040188789;LUVA COMFORT GRIP GLOVES TM-7,5 3M;0;EPI;LUVA;7,5
7891040188802;LUVA COMFORT GRIP GLOVES TM-8,5 3M;0;EPI;LUVA;8,5
2501504920019;LUVA DE LATEX NITRILICA 925 TM-09 PROMAT;0;EPI;LUVA;9
2501504920729;LUVA DE RASPA LUVEQ 07CM PETROLEIRA;0;EPI;LUVA;7
2501504920187;LUVA DE VAQUETA CINZA LV-96001 PROCIPA;0;EPI;LUVA;
7898619334714;LUVA MALHA DE ACO LONGA 21 CM ZIEGLER VOLK;0;EPI;LUVA;21
2501504920781;LUVA MALHA ACO PUNHO CURTO TM-P DANNY;0;EPI;LUVA;P
7896353823686;LUVA MALHA DE ACO CANO LONGO NIROLFLEX 2000 M DANNY;0;EPI;LUVA;M
2501504920286;LUVA MALHA DE ACO FIXBR/0-1 MANULATEX TM-P;0;EPI;LUVA;P
2501504920309;LUVA MALHA DE ACO FIXBR/0-1 MANULATEX TM-G;0;EPI;LUVA;G
1000000048720;LUVA MALHA DE AÇO FIXBR/0-1 MANULATEX TM-PP;0;EPI;LUVA;PP
2501504920293;LUVA MALHA DE ACO FIXBR/0-2 MANULATEX TM-M;0;EPI;LUVA;M
2501504920804;LUVA MALHA DE ACO PUNHO CURTO TM-G DANNY;0;EPI;LUVA;G
2501504920798;LUVA MALHA DE ACO PUNHO CURTO TM-M DANNY;0;EPI;LUVA;M
7898619334653;LUVA MALHA DE ACO SEM 52 CC TM-M ZIEGLER-VOLK;0;EPI;LUVA;M
7898619334660;LUVA MALHA DE ACO SEM 53 CC TM-G ZIEGLER-VOLK;0;EPI;LUVA;G
7898619334646;LUVA MALHA DE ACO SEM 53 CC TM-P ZIEGLER-VOLK;0;EPI;LUVA;P
2501504920774;LUVA MALHA DE ACO SEM 53 CC TM-PP ZIEGLER-VOLK;0;EPI;LUVA;PP
7896098823033;LUVA NITRILICA AMARELA FLOCADA REF. 230 TM-9 MUCAMBO;0;EPI;LUVA;9
7896098823026;LUVA NITRILICA AMARELA FLOCADA REF.230 TM-8 MUCAMBO;0;EPI;LUVA;8
10076490437456;LUVA NITRILICA AZUL TAM.7-P ANSELL;0;EPI;LUVA;P
10076490437463;LUVA NITRILICA AZUL TAM.8-M ANSELL;0;EPI;LUVA;M
10076490437470;LUVA NITRILICA AZUL TAM.9-G ANSELL;0;EPI;LUVA;G
7891040188796;LUVA NITRILICA CONFORT GRIP GLOVES TM-8 3M;0;EPI;LUVA;8
7891040188819;LUVA NITRILICA CONFORT GRIP GLOVES TM-9 3M;0;EPI;LUVA;9
7898494158931;LUVA NITRILICA VERDE PLASTCOR NITRITEX 90 TM-8;0;EPI;LUVA;8
7898494158948;LUVA NITRILICA VERDE PLASTCOR NITRITEX 90 TM-9;0;EPI;LUVA;9
7896098802625;LUVA NITRILICA VERDE PRO AF-15 TM-10 MUCAMBO;0;EPI;LUVA;10
7896098802595;LUVA NITRILICA VERDE PRO AF-15 TM-7 MUCAMBO;0;EPI;LUVA;7
7896098802601;LUVA NITRILICA VERDE PRO AF-15 TM-8 MUCAMBO;0;EPI;LUVA;8
7896098802618;LUVA NITRILICA VERDE PRO AF-15 TM-9 MUCAMBO;0;EPI;LUVA;9
2501504920279;LUVA PIGMENTADA 001 CP-03 PLASTICOR;0;EPI;LUVA;
2501504920224;LUVA PIGMENTADA BEGE/AZUL 044-PI TM-9.5 JUNDTEX;0;EPI;LUVA;9,5
2501504920361;LUVA PIGMENTADA L01 BEGE/BRANCO TSUZUKI;0;EPI;LUVA;
7894854189119;LUVA POLIAMIDA ULTRANE 548 MUCAMBO;0;EPI;LUVA;
2501504920125;LUVA TERMICA 2 DEDOS BENETHERM-UP;0;EPI;LUVA;
7898290225851;"LUVA TERMICA GRAFATEX CANO LONGO 12"" LAMARE";0;EPI;LUVA;12
7898342536454;LUVA TERMICA GRAFATEX CANO LONGO TM-10;0;EPI;LUVA;10
